retweet_count,favorite_count,reply_count
198,2021,6
479,3926,23
17,171,0
392,3438,36
0,0,0
1980,12582,73
1763,13213,147
0,0,0
0,0,0
351,2519,35
0,0,0
137,1272,6
10,355,16
49,463,2
373,3797,27
0,0,0
1182,8879,51
247,2763,28
0,0,0
0,0,0
0,0,0
95,759,5
156,1347,8
242,1952,14
257,1937,17
155,1126,11
284,2291,17
128,1091,10
408,2940,35
815,4689,50
0,0,0
175,1161,11
0,0,0
0,0,0
159,1242,18
3854,12446,145
3763,21008,119
304,1704,12
421,2918,30
1885,13894,98
0,0,0
191,1579,55
477,2411,13
0,0,0
210,1283,17
366,2647,13
270,2572,28
366,3358,17
351,2535,12
448,2818,20
227,1665,48
928,7633,43
418,2731,24
0,0,0
757,5922,30
0,0,0
294,1924,43
685,4220,20
107,852,8
123,1125,10
490,3322,11
188,889,16
87,403,10
957,6994,62
57,392,3
355,2573,15
238,1589,14
632,3781,39
1605,11088,56
228,2387,19
128,1441,29
114,1432,15
0,0,0
0,0,0
242,1367,27
136,1472,17
478,2874,23
342,3160,18
25,249,8
99,824,13
0,0,0
0,0,0
0,0,0
147,1552,25
137,1405,6
115,1218,13
118,849,18
165,1208,16
223,1671,15
123,862,9
0,0,0
159,1164,12
439,2517,21
779,4278,24
243,1281,12
226,2331,23
0,0,0
846,6661,21
113,1093,16
312,2183,19
