retweet_count,favorite_count,reply_count
481,3358,28
4944,27654,109
255,1913,31
653,7655,51
63,555,6
174,1595,11
1553,11265,58
915,9517,45
300,2345,38
218,2776,19
7221,61024,165
0,0,0
1955,12851,76
563,4901,32
1094,9522,41
1761,9032,69
1302,11574,35
1332,10674,25
1806,17595,63
365,4319,18
311,2956,17
760,7450,31
200,2798,15
2286,13488,37
356,3541,13
7550,81193,357
439,4095,15
0,0,0
399,4970,15
2335,15565,61
401,3865,51
0,0,0
1242,8379,15
0,0,0
0,0,0
811,6918,19
461,4583,9
121,946,12
168,1384,18
77,771,8
20,157,0
356,3460,32
1121,13079,75
236,2233,33
0,0,0
0,0,0
3640,24257,61
0,0,0
1858,13903,53
1123,8194,62
950,12476,146
3202,26554,49
3254,28370,57
249,3855,22
868,8837,42
29491,135691,325
2162,18113,38
2753,26982,58
788,8046,26
3878,37012,45
11133,46611,140
8317,62139,55
26109,139647,230
92789,366755,1016
52259,167089,789
32303,190866,150
2466,15523,29
3629,26119,41
31821,108834,495
5724,29764,106
4824,32960,56
19976,121890,213
7942,44466,122
3581,25661,54
60537,268595,611
2923,20401,54
2533,23459,71
13208,85663,239
270,1937,24
0,0,0
0,0,0
0,0,0
42,482,12
1243,8542,25
614,7531,79
1342,16429,63
52,532,16
3574,29822,46
1964,13397,37
756,6663,18
3286,27971,65
193,1773,27
163,2145,7
0,0,0
630,6944,24
1341,12269,52
488,4250,31
4348,34793,82
712,5245,30
1220,10516,31
5521,30733,110
6337,39879,141
857,6041,31
1273,9607,25
359,3095,8
287,2300,10
0,0,0
491,4083,13
3041,16604,57
510,4374,15
5398,24182,71
395,3327,9
862,5291,18
1480,11309,36
556,3605,6
914,6715,16
2336,16382,26
1172,6739,33
12398,44932,205
2891,12950,62
2154,15179,38
1127,7524,27
2079,11087,44
4839,28427,79
842,8587,36
452,3924,24
2697,22427,65
1918,13349,78
8820,55987,143
2362,18542,102
2072,12102,51
552,6769,26
2105,19616,101
1185,9092,36
321,2048,11
2255,11244,77
1337,10802,28
844,6416,23
122,1211,12
115,1022,8
97,759,4
2078,13009,66
57,548,4
99,1152,6
1286,17695,97
