retweet_count,favorite_count,reply_count
442,5193,36
0,0,0
0,0,0
126,1719,19
2447,18988,95
0,0,0
202,1897,20
700,5448,36
676,7044,64
1299,6120,97
4588,30714,194
1433,10047,75
1933,18846,111
419,4015,34
283,2841,38
523,4743,18
1483,11129,36
348,3137,13
330,3315,61
0,0,0
773,8181,22
156,1432,56
727,8026,45
882,7750,33
192,1861,29
424,3039,30
343,3388,24
7319,58401,87
108,838,13
158,1148,26
114,852,14
19418,125782,318
1034,9959,39
659,8736,56
33,441,10
283,2467,36
1273,14154,83
10912,62640,187
0,0,0
200449,733697,3369
694,10289,138
9657,62069,254
85,1070,10
100,1038,76
119,1391,25
168,1979,36
419,4811,711
838,8405,95
389,3840,36
0,0,0
139,1617,89
225,2418,25
0,0,0
19451,104935,575
2110,16580,46
0,0,0
0,0,0
0,0,0
1462,18029,111
236,2187,86
0,0,0
1608,15656,105
293,3688,23
389,4227,40
240,2910,92
0,0,0
0,0,0
104,626,4
127,848,7
82,682,11
419,3943,23
576,5665,19
530,5992,105
1369,15066,76
0,0,0
2595,17206,62
955,11003,109
0,0,0
331,2652,72
2811,24494,112
162,1755,25
3153,22610,124
216,1791,11
0,0,0
486,4021,26
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
92,834,13
0,0,0
138,1927,13
216,2314,10
432,3508,28
282,2932,54
214,1982,11
155,1577,15
3445,26184,71
699,4927,36
10094,61315,240
803,4350,74
143,1171,11
40,462,5
295,4280,20
765,9322,41
0,0,0
106,1074,20
0,0,0
0,0,0
201,2105,19
208,2380,22
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
952,8249,39
1574,10340,87
794,4183,56
2723,10849,139
5479,27206,169
597,4636,67
0,0,0
537,3744,19
703,4058,26
380,3052,65
1048,8069,126
0,0,0
328,2611,41
488,5227,34
5125,41433,115
137,1362,55
685,5359,44
294,2966,35
2636,13687,88
652,6838,39
393,3722,38
560,4182,20
294,2305,63
0,0,0
410,3474,31
0,0,0
105,1086,52
909,7076,44
115,746,10
136,1000,20
70,603,14
935,8202,43
234,2439,23
540,5153,55
336,2617,49
73,719,12
1642,17250,75
46,382,9
42,403,3
0,0,0
1317,14529,102
77,551,9
0,0,0
122,1360,15
128,1401,10
221,2460,21
122,1106,19
143,1481,16
440,4873,25
1468,14637,50
481,3078,25
1837,12722,86
670,5290,85
1414,5694,68
227,2012,6
476,4207,16
2828,21877,68
127,1379,13
306,3288,55
0,0,0
220,1726,24
695,5931,20
972,8915,31
277,2929,13
0,0,0
1123,9474,31
230,1912,39
830,7453,37
1527,15158,116
260,2406,54
274,2429,39
312,3227,23
656,6432,21
153,1349,27
269,3975,28
112,686,10
132,823,9
745,6865,41
77,519,5
460,6680,44
1355,15449,56
790,6126,26
172,3359,25
