retweet_count,favorite_count,reply_count
280,3668,25
160,1696,26
320,2992,15
0,0,0
2820,21058,100
0,0,0
240,2120,36
2976,21418,70
209,2412,17
211,1755,22
790,7339,29
298,2751,13
562,5994,60
177,1614,20
1167,9957,45
323,2265,35
0,0,0
891,9514,22
2161,16485,99
1167,8305,64
0,0,0
0,0,0
1932,15466,149
1802,12771,78
19247,74653,478
6430,25537,374
2374,14729,130
15175,64935,296
3334,19243,100
523,3983,23
2765,24523,166
686,5427,101
0,0,0
3037,18899,131
737,6535,34
0,0,0
261,1955,35
337,2840,23
866,6921,53
0,0,0
254,2234,107
1175,8592,60
430,4226,39
383,3017,39
861,5499,71
524,3303,57
202,1915,60
1698,13337,72
195,2072,13
1068,7654,51
164,1053,21
209,1342,19
148,980,35
1746,14793,87
494,3706,40
1234,17910,357
411,4218,37
464,4925,51
382,2576,81
2185,16730,103
166,1781,23
155,1621,18
809,9149,64
156,1319,17
420,3457,28
785,9279,75
2421,20269,84
1038,10434,45
709,5480,32
195,1724,10
1576,10393,120
406,3660,22
408,3552,29
0,0,0
0,0,0
562,4309,35
1049,7288,62
0,0,0
178,1967,22
3214,19022,156
11852,42896,453
4989,20175,287
1749,11719,70
375,3610,23
516,3992,39
429,3401,33
0,0,0
357,2648,62
2387,15138,128
2099,15389,80
0,0,0
1353,9662,35
0,0,0
0,0,0
1727,10495,75
1309,8136,36
560,4365,26
467,3901,76
1020,8704,84
5301,27695,108
73,823,8
185,2275,11
206,1904,14
232,2118,13
337,3200,15
234,2343,8
163,1736,10
858,11315,157
177,1754,21
1585,10409,42
596,4318,23
2268,10242,111
6376,33702,203
1363,10893,62
48,359,8
551,4113,46
366,3575,29
243,2382,14
16561,70519,696
996,7008,24
612,6155,535
0,0,0
1006,6365,26
1347,8524,45
322,2558,26
842,5241,134
820,5895,26
1561,9493,70
0,0,0
0,0,0
0,0,0
333,2754,34
124,1192,71
530,4689,27
211,2026,12
115,903,9
119,734,16
551,4803,24
60,552,6
370,3155,33
507,4879,37
526,5543,82
101,886,22
4623,24311,134
435,2652,27
3141,18707,129
301,2376,29
987,10090,51
72,798,8
263,4977,19
37,408,4
340,2907,88
307,1728,10
0,0,0
84,1172,8
626,9805,48
235,2142,19
0,0,0
2277,20849,135
361,2347,16
1681,7741,80
0,0,0
2204,18405,77
1651,6563,112
1915,10856,64
4915,35525,102
1317,8300,57
640,4553,20
1082,7774,56
354,2856,24
138,1381,44
319,2545,15
514,5721,30
320,2469,14
5706,30245,216
286,2208,28
520,3724,30
0,0,0
558,4213,22
221,2152,14
127,1085,38
2162,13006,188
821,7111,30
196,1698,14
501,4452,15
92,657,11
154,1037,14
85,667,8
739,7281,43
0,0,0
778,5369,261
470,4935,28
0,0,0
435,3811,44
60,571,7
258,2016,28
340,4247,24
482,5869,374
113,1385,39
1270,9223,59
