retweet_count,favorite_count,reply_count
41,373,14
0,0,0
161,1116,88
532,4223,69
0,0,0
0,0,0
64,466,14
505,3470,166
353,2366,1030
317,2310,431
101,1077,66
131,1158,68
0,0,0
94,660,115
154,1652,36
0,0,0
108,777,16
0,0,0
96,600,83
66,515,28
189,1173,26
0,0,0
79,933,48
82,463,72
0,0,0
240,1917,11
1398,6605,101
66,500,7
52,392,16
54,211,4
158,1019,69
100,676,9
266,1900,20
36,249,5
168,1420,17
180,1012,33
242,2891,36
133,1428,35
305,2271,46
0,0,0
172,1222,83
75,397,15
52,528,16
312,2397,661
0,0,0
83,766,196
447,3811,54
359,2465,70
145,1385,26
116,763,130
485,2719,26
83,679,23
458,2337,20
81,1276,21
73,435,41
107,618,28
581,3900,31
148,1001,14
0,0,0
408,2420,15
72,880,4
52,275,3
63,514,3
149,821,13
227,2326,18
51,305,3
121,625,6
371,2683,22
130,1357,14
225,1701,19
0,0,0
0,0,0
85,730,8
262,2728,20
963,8329,61
112,751,25
0,0,0
212,2072,25
174,2158,8
0,0,0
37,245,1
225,2085,22
0,0,0
92,598,8
0,0,0
0,0,0
28,249,18
0,0,0
1206,8335,98
0,0,0
446,2875,38
141,965,10
83,622,15
187,1115,22
292,1629,25
789,3715,56
789,3505,45
727,3065,37
525,2787,57
1734,7777,52
