retweet_count,favorite_count,reply_count
152,2114,6
154,2193,6
669,9328,41
154,1929,14
648,6639,63
3433,24240,154
126,3127,24
0,0,0
0,0,0
0,0,0
0,0,0
88,880,19
438,4357,50
1696,13680,51
2490,25980,95
0,0,0
2240,20180,76
181,1256,17
7826,37893,217
0,0,0
6857,23987,217
12402,53377,446
397,3502,11
1323,17624,47
501,4940,11
1943,15662,65
423,4632,5
2017,16240,70
0,0,0
504,4212,7
1583,12020,49
0,0,0
4880,24574,155
21301,97594,919
17638,106482,372
0,0,0
0,0,0
0,0,0
6818,54664,197
65,424,5
0,0,0
0,0,0
5192,36745,159
5834,35201,137
0,0,0
3016,13141,148
0,0,0
14446,78318,337
0,0,1
0,0,0
406,6675,20
0,0,0
0,0,0
8448,72659,361
0,0,0
0,0,0
0,0,0
0,0,0
32883,85891,977
33973,153597,876
6821,30017,231
1741,8220,120
0,0,0
2019,11594,94
353,2082,14
648,5895,210
1942,9007,158
1109,6337,72
0,0,0
665,5159,31
0,0,0
251,1328,19
772,4929,99
315,1910,11
748,3756,26
979,5577,41
574,3056,43
238,1633,15
365,2712,69
786,4882,73
0,0,0
1477,11105,108
201,1032,20
302,1507,32
149,740,15
774,4166,45
635,9606,37
369,4749,28
344,4648,55
0,0,0
374,3554,31
4406,40350,150
1438,13975,117
421,3496,33
2449,20723,82
366,2277,54
0,0,0
0,0,0
2503,9820,165
8271,39339,338
385,4698,23
0,0,0
2475,19584,87
0,0,0
0,0,0
0,0,0
195,2178,24
1291,14258,84
1892,17581,104
784,4499,32
0,0,0
643,3178,32
999,8244,64
0,0,0
326,3210,13
876,5153,63
3235,27755,130
7645,27284,320
437,3954,14
1745,12916,78
0,0,0
2045,10671,98
453,2880,16
0,0,0
1280,7768,112
770,4545,23
3794,22272,105
1346,7136,67
0,0,0
967,6590,112
1153,6950,59
0,0,0
493,2495,21
1737,7413,60
0,0,0
1894,10896,67
0,0,0
310,3233,100
413,2357,28
0,0,0
259,1567,15
495,3167,34
255,1441,15
166,902,13
788,4698,42
172,854,25
898,9547,35
855,7784,33
351,3846,28
0,0,0
0,0,0
2442,19500,195
365,2908,30
499,2733,66
867,4884,52
3681,22311,177
110,912,25
54,551,7
198,2798,5
272,3740,10
1869,19324,90
43,487,3
0,0,0
0,0,0
0,0,0
192,2479,20
0,0,0
0,0,0
237,3445,7
588,6472,11
2347,18099,125
1708,12246,87
0,0,0
315,4115,14
264,4105,8
1519,18621,81
0,0,0
207,2144,9
197,2099,1
116,742,2
215,1510,8
1366,10833,42
4344,27978,142
0,0,0
0,0,0
0,0,0
1993,13844,63
6773,46614,158
60,543,8
64,755,2
78,802,2
36,283,1
28,180,2
34,191,1
42,286,2
464,4266,31
1341,7649,74
9356,43672,558
0,0,0
126,2613,15
