retweet_count,favorite_count,reply_count
1985,11987,88
3243,20671,113
242,2220,22
0,0,0
2,8,1
2,6,1
1,7,1
3,6,1
2,6,1
1,5,1
2,7,1
1,6,2
2,7,1
2,6,0
2,11,1
1,5,1
1,6,2
2,5,0
1,3,1
1,2,1
2,2,1
2,1,0
2,5,2
2,1,0
1,2,0
1,0,1
1,2,0
1,2,0
1,0,0
4,6,2
1,1,0
1,0,0
2,1,0
2,2,0
1,1,0
2,2,2
1,3,0
1,0,0
3,3,1
2,4,0
2,2,2
1,1,0
1,2,0
1,1,0
1,1,0
1,1,0
2,4,0
1,1,0
1,1,1
1,1,1
1,1,1
1,1,0
1,1,0
1,2,0
0,0,0
0,1,1
0,0,1
0,2,1
3,10,1
0,1,0
2,2,1
1,1,1
0,1,0
0,0,0
0,0,1
0,1,1
0,1,1
1,8,0
0,7,2
0,1,1
1,1,1
4,33,1
0,1,0
0,1,1
0,0,0
0,1,0
0,1,0
0,5,0
0,1,1
2,10,2
0,1,0
0,1,0
0,1,0
0,5,2
0,9,1
0,0,0
0,7,1
0,1,1
4,10,2
0,1,1
0,1,2
0,1,0
0,1,0
1,1,0
0,1,1
1,2,0
0,1,1
0,1,0
0,1,1
0,2,1
119,1458,9
372,3958,45
1302,12865,88
138,1343,23
343,1843,33
55,628,12
0,0,0
5643,28284,192
1757,16007,91
466,3419,23
249,2630,21
30,392,4
56,578,10
1238,7510,85
7389,36301,370
180,2167,7
213,2786,6
1857,20953,113
67,692,9
0,0,0
45,501,5
0,0,0
807,7873,11
8084,46148,187
56,960,4
99,1372,5
47,636,2
30,389,2
38,392,2
694,8323,79
77,852,9
437,3957,32
245,1261,12
210,1640,14
0,0,0
1868,9721,95
1116,6731,116
0,0,0
140,2499,11
0,0,0
5561,41295,158
