retweet_count,favorite_count,reply_count
3,7,0
1143,10141,69
0,0,0
33,465,9
0,0,0
113,926,4
2159,9178,41
3481,16687,199
686,6416,23
1780,11064,50
62,489,4
191,1479,14
428,2691,20
265,1852,11
135,1283,14
710,4035,20
256,2196,22
199,1877,6
323,2703,30
3178,16565,83
167,1199,19
171,1350,4
580,4457,24
126,926,5
1522,6466,68
255,1592,19
248,1490,10
266,2181,20
0,0,0
797,8507,9
0,0,0
127,964,4
1857,10395,73
1351,9140,53
143,1588,10
178,1504,10
77,791,18
51,407,8
118,982,9
149,1198,7
187,1328,15
1052,8693,69
0,0,0
0,0,0
109,1095,4
1732,7412,45
109,1019,5
260,2276,11
177,1405,4
240,3231,13
2057,18679,54
333,1967,11
202,1819,5
876,5288,34
0,0,0
92,1025,3
456,2499,12
247,1811,6
422,2633,12
403,2763,7
149,1206,3
85,821,3
139,901,4
131,855,6
152,908,1
331,2340,12
151,2306,5
231,1833,3
42,611,5
566,3681,21
33,368,5
41,667,11
157,1384,12
103,1200,5
47,515,7
111,1018,11
66,745,10
232,4430,23
0,0,0
385,3495,15
0,0,0
1,8,2
3,26,1
0,0,0
2405,16213,50
0,0,0
379,4936,41
1747,16343,141
0,1,1
0,1,0
0,0,1
0,4,1
0,1,0
0,1,0
0,1,0
1,3,1
0,0,1
1,5,0
0,2,0
0,1,0
112,1755,60
0,0,0
62,656,4
0,0,0
378,5248,51
468,6494,586
274,2833,26
116,1282,7
955,6585,44
765,6127,24
307,2318,29
189,1574,9
141,1117,11
198,1507,7
49,486,4
725,4500,24
136,1297,5
495,3788,24
130,1655,7
0,0,0
548,5043,64
1089,6971,70
536,4040,25
142,1233,13
220,1878,20
384,3713,10
3309,16602,139
86,1109,4
576,4596,31
78,1040,19
614,5174,37
0,0,0
38,591,2
17,297,1
16,251,0
0,0,0
0,0,0
0,0,0
51,530,3
0,0,0
0,0,0
30,306,5
138,1289,7
0,0,0
228,3378,419
240,1972,9
822,4783,18
159,1306,3
159,2747,5
176,1672,4
400,3637,11
469,3029,6
60,887,1
301,2276,7
199,1424,17
57,911,4
454,2852,18
141,1576,5
0,0,0
268,1975,41
243,1920,13
510,4016,19
175,1225,11
399,2454,17
0,0,0
1715,9212,29
0,0,0
1631,7593,43
5071,23283,70
1333,5501,21
195,1330,6
219,2274,3
1105,5796,26
293,1903,13
2369,11425,55
0,33,1
19,191,2
1,10,1
0,3,0
1,3,0
0,7,1
0,4,1
2,5,0
0,3,1
0,0,0
0,0,0
1,3,0
1,6,0
0,0,1
0,2,0
0,0,1
0,1,0
1,2,0
0,1,1
0,4,0
0,4,0
2,3,0
1,1,2
0,0,0
0,1,0
