retweet_count,favorite_count,reply_count
85,691,13
33,324,1
141,2075,9
2663,12843,29
5922,27875,68
0,0,0
1865,12258,68
750,7320,19
3825,16818,63
0,0,0
2403,12759,38
3857,17590,48
762,7054,12
9668,34552,84
0,0,0
0,0,0
0,0,0
0,0,0
695,7500,16
377,3048,5
1616,7728,68
3424,18804,101
507,4980,13
2152,12749,108
434,3169,17
57,553,5
367,2317,17
1139,7817,27
640,4498,23
743,5019,24
0,0,0
85,1147,6
757,5207,45
120,1251,11
281,2311,14
1204,6703,21
279,1606,17
0,0,0
571,5059,34
562,5143,44
1729,10897,45
1417,8498,54
119,1622,13
42,550,3
45,578,3
19,166,3
293,3134,26
0,0,0
27,755,9
339,2072,14
54,598,5
30,464,6
0,0,0
0,0,0
336,4861,105
717,5003,43
40,588,15
45,584,9
152,1338,4
102,1001,22
56,876,7
109,1320,13
81,974,10
901,7938,36
179,2192,7
3523,18157,69
258,2234,18
85,751,12
37,621,1
230,1915,7
137,1106,8
48,651,7
78,799,4
155,1282,8
268,2089,20
942,6309,25
39,595,6
278,2278,26
100,947,6
78,852,11
27,541,5
725,5817,29
179,1603,13
200,1613,13
54,547,7
95,866,10
76,773,7
229,2240,7
30,315,5
0,0,0
53,566,12
7690,38901,107
0,0,0
41,760,3
361,5366,207
67,620,3
0,0,0
276,2196,35
832,7263,24
1073,6840,19
2366,11495,65
1992,11573,157
897,6431,45
312,2371,13
859,4560,36
168,1112,17
916,5619,30
97,1213,5
59,728,4
555,4179,38
1597,9438,58
288,2369,28
9,59,1
1362,8173,34
318,2337,17
0,0,0
428,3315,66
967,5511,45
254,1637,14
68,551,6
725,4014,24
268,2096,34
794,4684,36
1814,9926,59
167,1781,13
45,419,5
