retweet_count,favorite_count,reply_count
394,3521,60
2447,15253,91
0,0,0
6548,44567,169
903,5971,41
1691,8345,39
285,1788,37
5247,25625,156
0,0,0
1108,7237,17
8209,51197,136
0,0,0
31174,145048,731
1456,7951,18
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1948,9095,21
7443,39012,77
0,0,0
0,0,0
1167,7798,13
1209,8513,17
553,3997,7
501,3273,5
506,3104,6
518,3168,5
461,3032,5
443,3106,5
515,3517,10
631,4142,9
9333,59262,87
22205,65582,200
26772,74825,378
43069,157228,566
3547,37416,348
0,0,0
0,0,0
0,0,0
938,4433,51
1584,6875,73
609,3199,33
189,1691,29
2616,14452,116
380,2491,17
666,5519,22
5613,23906,300
0,1,0
3982,19501,107
280,1675,12
482,3114,16
218,1333,13
568,3887,44
593,4407,69
448,2343,47
334,4144,305
556,2999,80
1583,9012,111
148,1047,15
226,2404,108
362,2743,43
205,1037,35
863,5868,44
269,1522,57
126,660,19
162,1492,8
452,4325,34
864,8129,61
152,1514,9
304,2784,35
284,1991,21
318,1739,50
3889,22642,183
55,541,10
3938,24192,126
530,4018,26
215,2682,25
826,6671,54
4305,29334,339
164,1628,25
130,1425,5
168,1963,2
1533,12274,71
60,558,9
0,0,0
0,0,0
610,2783,39
1300,6201,65
298,2234,39
0,0,0
7139,22806,385
0,0,0
1131,7161,56
403,2314,15
911,5846,94
1794,9086,95
931,5267,74
3515,17576,127
179,1603,18
90,705,4
0,0,0
37,418,7
50,355,16
217,1568,11
196,2100,5
90,581,1
96,426,6
87,422,1
2419,18632,134
3603,17427,207
1250,8606,62
0,0,0
382,4261,189
82,720,4
295,2560,25
231,3011,28
174,1127,7
187,1779,17
107,1523,82
105,830,8
204,1723,11
92,1123,11
188,754,5
122,1675,78
97,754,11
429,3060,41
176,1390,13
193,1753,4
232,1593,21
104,672,10
240,1915,21
114,773,20
82,908,3
49,372,7
184,2393,10
91,723,11
400,4382,37
111,767,7
234,2407,18
1497,11513,75
157,843,21
21,273,6
37,429,6
147,2010,4
177,2416,4
969,9887,39
0,0,0
0,0,0
528,2828,45
382,3124,26
26,368,5
586,6468,27
842,9460,40
41,407,7
55,590,15
746,7455,36
1796,15483,102
327,4637,20
88,660,7
0,0,0
803,4091,37
479,2545,23
273,1596,14
0,0,0
0,0,0
952,5334,77
0,0,0
0,1,0
738,4872,36
1572,8884,40
3668,17466,99
0,0,0
0,0,0
4275,22619,241
9798,41792,259
0,0,0
166,991,9
0,0,0
441,2753,33
255,2216,38
346,2167,20
423,3267,32
0,0,0
870,4634,34
324,2457,75
476,3001,34
317,1534,9
1213,7078,42
219,1437,47
140,907,4
535,3532,25
129,638,12
500,3607,38
266,1418,29
69,440,7
54,576,8
56,435,3
291,2633,20
