retweet_count,favorite_count,reply_count
568,7238,21
1570,12014,49
0,0,0
0,0,0
0,0,0
631,3642,31
593,3110,22
486,2690,22
363,2190,34
732,5745,56
0,0,0
0,0,0
4897,21068,234
2555,15326,92
1281,8705,45
1408,16389,100
1754,11144,55
263,2382,13
346,2567,20
456,3807,57
88,935,5
382,2103,19
303,2204,65
221,1286,10
323,2086,17
640,5300,23
163,1608,42
711,3668,25
285,1953,38
153,785,17
645,5085,21
177,786,26
73,506,4
378,3332,32
93,564,3
1039,9207,83
109,1025,4
146,1554,13
213,1005,8
402,4085,47
693,9138,83
170,987,29
48,449,8
572,4211,52
396,2285,38
0,0,0
180,3512,22
0,0,0
943,10564,575
230,2559,99
264,1896,27
1157,6366,67
0,0,0
448,3755,92
519,4198,39
0,0,0
485,3478,28
423,2665,33
423,4853,66
165,826,23
186,823,31
124,1020,8
125,611,9
581,3467,36
200,1173,11
238,1637,12
4115,30580,207
366,4842,20
126,1324,31
506,5162,39
162,2224,17
329,3646,21
250,1377,47
2066,13036,95
55,507,15
15,315,15
0,0,0
1543,13319,1825
251,1720,43
1025,6134,145
356,2486,48
0,0,0
266,2070,75
437,2328,38
1858,10483,131
4645,36092,102
392,2026,16
728,5250,155
870,4362,40
0,0,0
294,1594,14
394,2396,39
1184,7433,54
0,0,0
292,1802,29
240,2873,235
686,3651,56
218,1636,113
259,1238,36
0,0,0
1302,6797,47
1201,4280,140
217,873,25
1938,11752,111
886,2756,61
764,6826,75
129,1117,13
543,3062,93
242,1781,38
286,1953,109
138,797,22
223,1430,30
4756,21688,319
0,0,0
517,2284,55
10172,38317,462
314,2938,30
155,1560,16
4409,20180,81
944,10079,64
0,0,0
105,1007,10
0,0,0
595,3362,43
8625,26484,261
728,9143,95
90,989,15
721,6651,73
6231,29326,529
54,604,7
142,964,13
4915,32529,165
