retweet_count,favorite_count,reply_count
0,0,0
40,435,8
130,874,25
226,2048,30
299,4289,15
1521,15307,65
253,3158,23
26,258,3
0,0,0
0,0,0
0,0,0
2233,19850,96
704,6491,23
0,0,0
717,5909,30
0,0,0
241,2636,16
736,5137,34
163,1684,12
0,0,0
403,3745,16
505,5483,10
863,5984,41
342,4013,37
0,0,0
366,4686,10
550,5840,10
2031,18719,74
2358,24203,100
613,7088,20
4592,35393,202
0,0,0
0,0,0
0,0,0
0,0,0
1847,9159,134
0,0,0
1749,13614,91
84,791,7
121,925,20
448,5253,14
0,0,0
153,1979,19
134,1351,10
0,0,0
194,2388,14
0,0,0
346,3601,15
343,4483,49
110,948,11
0,0,0
130,610,12
198,2865,10
1041,9689,77
402,3246,51
330,4028,39
0,0,0
3190,24021,136
140,1105,16
2697,27221,179
0,0,0
1665,20887,201
0,0,0
6051,43701,359
0,0,0
265,4383,19
169,1933,9
0,0,0
313,2613,16
153,1450,9
181,2202,13
0,0,0
0,0,0
0,0,0
217,3437,7
340,2328,21
318,3451,18
731,7130,31
161,2230,28
0,0,0
10451,50375,470
0,0,0
2901,21085,121
6281,40054,308
0,0,0
0,0,0
0,0,0
638,5395,78
24110,116180,1644
0,0,0
0,0,0
