retweet_count,favorite_count,reply_count
382,2794,31
891,5761,28
208,1893,9
224,1953,2
116,688,2
129,693,3
1320,10175,62
258,2692,24
56,596,4
58,627,1
32,197,1
327,3542,45
0,0,0
0,0,0
332,3175,13
239,2484,10
3006,22801,187
233,1913,42
0,0,0
0,0,0
0,0,0
131,1123,44
0,5,0
914,6770,74
2521,22391,107
402,4186,13
0,0,0
0,0,0
447,3638,17
0,0,0
479,3060,25
5512,27743,129
1209,6262,62
946,7501,27
1392,8586,86
3143,17604,74
802,4818,39
0,0,0
612,3942,18
191,976,12
664,2679,46
3703,19496,128
415,5717,22
0,0,0
0,0,0
252,1414,27
0,0,0
171,2337,9
1028,11217,80
103,770,40
0,0,0
0,0,0
6872,34354,348
62,650,26
320,3623,20
180,2912,6
1066,12071,41
171,2846,4
650,8632,22
0,0,0
92,1133,9
35,388,4
186,2611,7
179,2728,3
544,8047,20
58,523,6
226,2128,14
1025,9462,86
409,6088,34
892,10417,32
507,6080,52
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
168,2337,4
191,2563,9
530,7030,38
0,0,0
0,0,0
1311,14664,156
2332,16539,100
460,3257,22
2814,12555,79
1346,7071,50
220,1615,12
195,1584,6
213,1861,5
1051,9450,47
932,5343,43
1308,9455,44
3194,15175,100
0,0,0
926,6922,57
505,2711,58
0,0,0
0,0,0
79,857,16
158,2532,8
493,6955,23
0,0,0
4150,34417,346
124,1099,9
121,1121,6
291,2991,15
97,753,25
0,0,0
42,370,3
0,0,0
0,0,0
53,620,6
70,596,5
99,843,9
1796,8861,220
132,1856,6
278,4408,8
0,0,0
0,0,0
0,0,0
3007,25864,138
0,0,0
0,0,0
650,8226,28
164,2054,8
141,1746,13
313,3519,11
293,3484,7
113,1725,7
51,533,4
0,0,0
669,4785,31
273,1602,23
832,4790,45
340,2770,14
0,3,0
122,2105,13
369,3012,26
0,0,0
322,3005,22
316,2620,25
162,2134,8
275,2285,9
1785,14542,49
474,3438,33
194,1789,8
249,2290,20
84,742,14
106,703,5
40,414,1
204,3064,16
463,7042,46
3176,23430,154
195,1246,17
154,1075,15
0,0,0
0,0,0
0,0,0
898,5253,63
310,2390,20
323,1909,24
0,0,0
220,1991,14
633,5105,38
0,0,0
859,8466,38
0,0,0
0,0,0
665,5683,39
0,0,0
0,0,0
3032,16754,71
3003,22093,119
0,0,0
0,0,0
0,0,0
321,4270,6
1381,10801,42
128,909,7
0,0,0
406,3693,31
1419,14513,48
0,0,0
0,0,0
124,876,15
