retweet_count,favorite_count,reply_count
689,10476,81
1369,13519,92
14,303,2
2752,16606,136
1321,7950,62
24,247,4
0,0,0
8743,48163,347
643,2961,90
742,6619,71
7137,33375,351
478,6896,25
2187,27184,109
72,830,18
309,2810,53
747,7714,39
168,1432,13
140,2152,9
306,3840,19
0,0,0
3574,31865,126
0,0,0
728,7762,67
0,0,0
89,1661,3
122,2222,5
443,6686,55
184,2364,20
667,8455,31
14767,84162,666
4614,41339,260
1339,10865,99
0,0,0
4066,29979,154
145,1664,19
370,4058,16
1857,19533,66
0,0,0
1831,9418,40
14902,59758,281
0,0,0
698,4042,43
0,0,0
1573,7750,97
896,5208,72
486,4548,67
0,0,0
0,1,0
5654,35235,280
1365,5584,70
6221,29837,244
0,0,0
8519,30556,484
1913,9686,107
18666,69384,536
9865,58154,345
1790,11159,95
0,0,0
4062,32051,218
443,2447,11
1064,5744,69
0,0,0
257,1300,13
0,0,0
795,5133,74
446,2839,31
689,4949,108
391,2845,15
2220,13071,121
0,0,0
565,3774,202
0,0,0
368,2168,29
745,4136,95
462,2837,50
424,2782,118
3691,17447,259
203,1235,12
0,0,0
404,4239,36
443,2587,28
266,1326,36
1709,15496,61
194,1009,28
1939,12572,102
234,2212,12
968,10865,69
395,5401,38
311,3888,39
204,2426,8
528,5191,53
5907,39278,353
0,18,0
0,0,0
0,0,0
0,0,0
3453,22127,275
0,0,0
496,7500,29
2026,25196,171
0,0,0
0,0,0
3185,32036,182
0,0,0
0,0,0
0,0,0
44,710,6
175,1557,19
0,0,0
72,824,10
2940,34566,97
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
10485,45971,214
105,983,18
0,0,0
0,0,0
141,4052,18
112,3766,5
843,15736,121
0,0,0
1063,25404,95
0,0,0
60,899,13
4166,36143,155
1352,23117,147
175,2173,23
599,16618,366
62,735,10
