retweet_count,favorite_count,reply_count
288,4360,17
438,4600,21
363,4123,8
287,2376,4
282,2174,5
408,4912,12
366,2818,8
343,2884,6
4786,39383,138
0,0,0
172,964,7
1263,19635,55
0,0,0
5264,33857,182
4818,50905,261
0,0,0
117,810,18
2191,31814,195
0,0,0
814,5945,44
1109,12932,68
249,2045,19
71,645,12
0,0,0
6254,51889,248
0,0,0
98,1074,9
1324,23712,54
0,0,0
1750,26714,102
1301,13136,106
4714,62696,292
0,0,0
200,1796,25
766,9214,70
96,1423,36
598,12477,84
4327,38610,160
101,1834,9
245,3165,42
5939,39973,130
1778,23390,114
5094,45807,259
147,1934,40
114,1557,15
244,6808,14
646,14238,27
264,3600,11
337,4664,7
1062,12903,40
184,2604,22
0,0,0
5738,43285,245
0,0,0
0,0,0
3255,20914,93
0,0,0
3169,41614,71
