retweet_count,favorite_count,reply_count
467,4214,34
57,388,15
0,0,0
18,192,0
43,332,7
86,665,18
50,470,14
24,193,4
0,0,0
372,2611,88
535,5280,239
83,588,68
245,2107,19
205,1280,16
0,0,0
0,0,0
35,220,21
0,0,0
40,313,11
0,0,0
143,1167,10
52,351,6
0,0,0
91,784,7
80,916,8
42,203,7
71,453,11
32,249,5
70,621,12
39,380,10
59,495,9
0,0,0
0,0,0
62,1056,16
138,1239,23
163,1547,8
51,422,10
221,1576,184
0,0,0
0,0,0
68,494,9
37,431,17
32,284,4
72,522,11
188,1575,34
0,0,0
91,624,14
35,306,5
119,712,10
47,250,12
89,556,8
159,758,7
87,496,15
52,344,5
134,654,15
693,2712,72
234,1929,19
110,771,11
84,620,17
0,0,0
269,1508,13
0,0,0
531,2548,65
77,467,13
1339,8038,37
32,234,5
339,2619,14
1320,4549,48
1938,4005,131
154,1822,8
0,0,0
56,321,12
690,3344,84
0,0,0
96,780,6
48,370,2
34,429,9
84,538,9
45,234,8
77,421,13
42,233,5
166,1169,15
90,645,16
0,0,0
0,0,0
98,1132,20
0,0,0
27,244,4
107,733,16
40,795,15
47,476,6
0,0,0
48,345,7
32,314,10
0,0,0
0,0,0
75,601,10
55,467,14
79,641,13
29,335,9
