retweet_count,favorite_count,reply_count
1128,11101,210
555,4344,30
112,1196,12
99,972,7
160,1536,15
389,3100,23
239,1714,25
291,2365,18
102,923,18
520,3660,35
455,4286,26
1908,10520,88
1937,7019,122
1280,8177,31
66,613,15
202,1387,23
0,0,0
297,3050,54
420,3450,33
604,4950,39
584,3743,62
0,0,0
0,0,0
991,7900,30
991,8824,38
255,1686,42
133,1588,11
104,1553,20
1224,9088,75
432,2869,73
1738,9359,58
0,0,0
171,1312,19
444,4196,27
373,3051,45
0,0,0
564,3037,11
96,494,10
230,1898,16
122,596,7
428,4057,21
248,1709,18
89,615,5
246,1796,25
371,2889,50
1550,10609,76
238,2346,31
839,4506,61
325,1953,32
194,2028,12
27,314,6
0,0,0
78,776,7
0,0,0
277,1836,32
29,351,8
1678,16541,268
603,3222,63
0,0,0
122,1125,13
134,1383,12
347,2652,21
87,1051,17
187,1621,22
0,0,0
0,0,0
1763,9662,48
518,3613,41
2070,9456,213
0,0,0
363,2473,39
1053,6721,45
1010,7519,52
254,2351,47
1095,7357,27
339,2799,8
517,3116,54
217,2344,12
0,0,0
246,1640,27
355,2830,10
1650,8370,53
768,4879,76
0,0,0
848,3841,65
5445,23599,149
0,0,0
1606,10282,41
619,4365,28
290,2185,10
119,592,9
127,624,13
572,5287,27
101,1047,12
96,678,6
249,2873,18
0,0,0
231,2396,25
900,7556,100
526,3091,45
245,2244,20
59,605,2
501,3647,17
283,3235,16
52,528,7
390,4174,30
0,0,0
0,0,0
138,1140,14
80,877,3
0,0,0
503,3754,28
726,5442,32
447,2534,20
686,3777,46
0,0,0
1035,6012,38
3080,20323,77
1769,6730,76
382,2904,32
0,0,0
827,4402,38
169,1350,5
687,5070,32
680,4880,38
194,1523,27
248,1834,22
278,2394,18
0,0,0
1725,10033,44
669,6408,35
290,2243,46
532,4612,12
528,3994,36
161,1349,31
392,2552,14
769,5141,47
1153,8490,25
161,1470,11
0,0,0
104,673,11
67,399,4
214,1471,9
259,2115,12
461,2639,13
1970,8684,47
2606,12727,61
242,2275,18
0,0,0
382,3378,29
139,1427,12
199,1348,16
764,6766,29
0,0,0
59,667,5
0,0,0
119,1082,10
303,2187,19
671,4631,46
1282,4219,60
0,0,0
537,4314,34
121,985,12
186,1950,14
174,1750,15
555,4811,17
321,2298,19
186,1613,19
138,1127,59
811,6302,61
149,1316,31
635,3833,24
1024,8126,34
0,0,0
731,5204,27
76,510,13
312,3105,19
95,594,8
66,445,9
224,1593,21
0,0,0
303,3311,47
286,2968,62
19,231,2
163,1168,34
1682,11929,109
676,4431,30
4023,23578,193
621,6298,703
133,1627,303
260,2660,164
125,1186,188
260,2331,74
109,1027,49
858,6216,25
327,2725,9
1680,9828,59
0,0,0
104,491,10
198,970,15
