retweet_count,favorite_count,reply_count
679,5640,61
0,0,0
0,0,0
462,5188,45
889,8307,115
137,1430,13
217,1786,27
0,0,0
2193,14863,89
1833,15064,44
754,4356,49
1772,8444,99
3641,14958,191
2146,13246,137
0,0,0
963,7245,53
319,2276,46
0,0,0
272,2256,26
570,4004,18
0,0,0
1655,9399,61
291,2324,23
1118,5906,46
380,2701,28
183,1420,77
471,2479,26
176,1327,18
524,4106,20
210,2104,18
275,1994,18
95,843,35
106,515,14
162,1528,18
159,850,17
79,521,12
151,1249,18
585,4433,51
0,0,0
0,0,0
187,2035,13
91,932,10
516,4701,66
0,0,0
57,619,9
188,1224,24
685,5665,48
426,2809,25
152,1651,23
49,504,8
254,2524,23
457,3978,37
90,666,6
164,1686,11
121,1099,9
0,0,0
0,0,0
0,0,0
0,0,0
283,2795,23
428,3193,28
31,315,2
28,250,4
486,4728,35
104,1305,19
632,4543,59
218,1696,33
91,807,22
219,2048,34
78,1016,11
75,632,16
589,5756,441
70,845,7
0,0,0
158,1407,27
0,0,0
438,3806,32
186,1352,7
0,0,0
219,1222,31
161,1577,49
0,0,0
0,0,0
296,2743,23
0,0,0
82,707,19
201,1699,30
1219,7868,62
0,0,0
861,8774,159
155,1504,46
0,0,0
178,1823,15
92,1030,16
163,2949,42
83,796,51
170,1508,7
798,5957,51
95,452,7
122,623,13
33107,202342,1455
0,0,0
369,3927,510
3248,19716,195
1114,8232,105
1993,8509,66
259,2830,40
0,0,0
0,0,0
0,0,0
114,1251,68
163,1820,32
4136,29541,104
3405,10429,132
933,7109,79
292,2475,22
111,1161,98
2261,13380,77
0,0,0
625,4601,37
149,1486,22
84,869,55
684,5418,31
163,1478,15
86,506,4
144,759,6
89,574,9
307,2070,16
189,1768,22
0,0,0
0,0,0
199,1863,15
843,7092,83
970,9010,53
198,1560,21
323,3917,20
129,1181,18
3085,23037,174
