retweet_count,favorite_count,reply_count
200,1723,5
0,0,0
419,4047,31
1022,7370,67
0,0,0
0,0,0
1909,10945,111
148,1388,19
388,3166,13
777,6834,27
0,0,0
0,0,0
0,0,0
432,2733,103
3497,22278,129
203,1430,41
1505,14378,130
282,1184,26
0,0,0
1141,6437,100
0,0,0
0,0,0
527,3115,16
3451,12347,79
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1235,4506,80
536,5093,89
96,1133,12
389,3377,25
192,2121,22
0,0,0
1297,9072,47
0,0,0
351,3163,36
2393,16319,139
75,1059,7
162,2190,20
0,0,0
128,1751,10
630,6838,36
1578,15183,135
628,4392,45
1644,11997,66
975,7990,49
0,0,0
0,0,0
1881,14962,120
98,1122,4
535,2919,68
130,1023,13
0,0,0
1938,13079,226
66,718,6
0,0,0
