retweet_count,favorite_count,reply_count
0,0,0
1039,12858,3455
0,0,0
0,6,0
0,4,0
0,7,0
0,0,0
0,0,0
0,0,0
217,2523,22
0,0,0
0,0,0
60,901,55
0,0,0
0,0,0
2524,18132,134
140,1130,11
0,17,1
1636,7593,21
7507,30466,127
437,3986,30
165,1250,6
0,0,0
490,3307,21
356,3435,20
769,5708,42
0,0,0
557,2776,25
1219,8020,28
520,2624,33
3724,19410,82
4991,21117,163
0,0,0
535,6396,49
1,166,1
154,1453,10
4083,29026,184
772,5600,73
0,20,1
743,7607,38
1725,10005,45
1,16,0
1343,10779,100
257,2173,24
0,22,0
1,11,0
547,5523,46
0,0,0
0,0,0
90,908,15
3814,22527,48
5,31,1
204,1587,18
0,0,0
0,8,0
0,0,0
485,3657,40
1,40,1
717,4873,26
1,30,0
71,1005,14
318,3260,54
1,6,1
249,1970,17
69,741,11
51,762,5
25,322,5
84,633,7
37,426,5
303,2711,21
246,2534,28
0,7,0
0,22,1
1178,7458,41
116,1601,34
310,2332,15
1,14,1
1939,15404,34
0,0,0
0,9,0
0,0,0
416,3913,40
43,463,6
1023,7105,26
257,1661,21
69,524,11
47,693,5
195,2166,67
1098,8127,26
0,0,0
216,1518,11
594,6930,25
251,2880,19
0,0,0
0,0,0
227,2837,15
94,1174,20
0,0,0
94,1019,13
135,1812,47
138,1200,10
742,6313,56
0,0,0
63,731,9
0,0,0
2,9,0
0,0,0
0,0,0
0,0,0
0,0,0
8908,28848,204
132,3182,7
0,0,0
0,0,0
0,0,0
3,23,1
47,581,7
383,2683,4
1480,11466,20
589,3353,14
1907,10634,39
123,1561,7
196,2091,14
820,4872,13
4893,28401,105
1070,6160,21
151,1143,4
763,5494,30
792,9769,13
86,1110,7
0,0,0
980,8726,77
821,4757,21
105,1156,5
345,3375,19
209,2098,2
1447,11430,39
540,3440,10
2495,12527,61
1145,9613,112
1918,11248,40
114,1103,6
544,3813,19
1258,9634,19
542,4434,25
4143,20038,146
81,1047,16
0,0,0
1649,9180,55
623,4225,20
690,4685,10
346,1657,11
5768,32559,100
0,0,0
597,5911,63
0,0,0
911,6249,32
0,0,0
616,5489,15
34,406,18
0,0,0
0,0,0
1,1,0
2,1,0
2,0,0
2,1,0
2,0,0
2,0,2
1,1,0
1,1,0
1,1,1
1,1,0
0,1,0
0,0,0
0,6,0
0,1,0
0,1,1
0,0,0
81,672,8
0,0,0
166,1654,13
51,636,17
47,452,3
556,2948,22
554,3899,32
3464,17628,85
216,1676,15
1,2,2
0,1,0
0,2,0
214,2031,14
0,1,0
836,5854,37
0,1,1
0,0,1
0,0,1
340,3467,23
325,2546,16
0,1,0
1,2,0
0,1,1
0,1,0
0,1,1
0,1,0
0,1,1
0,1,1
0,2,0
1,4,1
0,1,0
0,1,0
0,1,1
0,0,0
0,0,1
1,2,1
0,1,2
0,1,1
0,1,1
901,4905,24
204,1786,8
896,6248,63
0,0,0
284,1759,10
967,10594,24
2322,16881,66
0,0,0
506,3243,39
386,5000,15
658,5549,55
2665,17928,117
360,2366,12
1843,8905,53
1439,8303,49
129,1434,24
0,0,0
20,290,3
0,0,0
112,1440,24
236,1887,10
941,6243,22
742,4734,22
1088,5896,11
3897,17557,49
27,497,3
37,624,2
25,359,6
22,289,3
290,3176,16
363,3161,13
51,467,5
225,1870,30
324,4008,17
209,2306,15
1314,8344,95
2039,16525,56
1611,9961,23
1676,16606,94
267,1880,14
1323,7072,29
35,953,113
253,2105,28
0,1,1
0,2,0
2,27,2
2,13,0
1,3,1
1,15,1
0,18,0
0,0,1
1,7,0
0,4,1
1,7,0
0,5,0
0,3,2
0,4,0
0,4,1
0,6,0
0,3,1
0,2,1
0,3,0
1,5,1
0,4,1
1,6,0
1,2,0
0,4,0
0,4,2
1,9,1
